longitude,latitude,disposition
76.51785050000001,43.1105328,"(-42.58846479860881,1.7559961999888003)"
76.5182337,43.110517,"(0.0,0.0)"
76.5178624,43.1105309,"(-41.26591069973681,1.5448320998901863)"
76.5178598,43.110527899999994,"(-41.55487209995488,1.2114150991526031)"
76.5178593,43.1105223,"(-41.61044159981458,0.5890366997763294)"
76.5178569,43.1105142,"(-41.87717519977289,-0.31118920047782694)"
76.5178572,43.1105079,"(-41.84383350017295,-1.0113648999735574)"
76.5178598,43.1105037,"(-41.55487209995488,-1.4781486999006077)"
76.5178627,43.1104994,"(-41.23256900013686,-1.9560463999575362)"
76.5178641,43.110496700000006,"(-41.07697439989795,-2.256121699515795)"
76.5178685,43.1104938,"(-40.58796279892145,-2.5784248001235)"
76.5178708,43.1104896,"(-40.332343099882706,-3.0452086000505503)"
76.5178732,43.1104824,"(-40.06560949992439,-3.8454093999254937)"
76.517877,43.1104728,"(-39.643281299727164,-4.912343800548442)"
76.5178801,43.1104669,"(-39.29875039964939,-5.56806390031435)"
76.5178862,43.1104647,"(-38.62080249883404,-5.812569700012908)"
76.5178917,43.11046,"(-38.00953799879795,-6.334922999799659)"
76.5179011,43.1104461,"(-36.96483139922445,-7.879755100479535)"
76.5179097,43.1104324,"(-36.009035999110594,-9.402359400109965)"
76.517916,43.1104166,"(-35.308860299614864,-11.158355600098766)"
76.51792449999999,43.1104094,"(-34.364178800420575,-11.958556399973709)"
76.5179267,43.1104019,"(-34.11967299914264,-12.792098900238287)"
76.5179318,43.1104014,"(-33.55286409962606,-12.847668400097987)"
76.5179393,43.1104003,"(-32.719321600151176,-12.969921299947266)"
76.5179454,43.1104028,"(-32.04137369933582,-12.692073799859074)"
76.5179533,43.110403500000004,"(-31.16337559934142,-12.614276499739617)"
76.5179656,43.110407800000004,"(-29.796365899949905,-12.136378799682689)"
76.5179773,43.1104122,"(-28.496039599758276,-11.647367200285572)"
76.5179845,43.1104151,"(-27.695838799883333,-11.325064100467557)"
76.5179932,43.1104173,"(-26.728929498849908,-11.080558299979309)"
76.5180033,43.1104213,"(-25.60642559915695,-10.636002300312015)"
76.518011,43.1104234,"(-24.750655299422306,-10.402610399953645)"
76.5180184,43.110424599999995,"(-23.928226699287606,-10.269243600764177)"
76.5180271,43.1104268,"(-22.96131739983356,-10.024737800275929)"
76.5180313,43.1104287,"(-22.49453359911682,-9.813573700177315)"
76.51804,43.1104294,"(-21.527624299662776,-9.735776400057858)"
76.5182337,43.110517,"(0.0,0.0)"
76.5180581,43.1104346,"(-19.51600839905585,-9.157853600411407)"
76.5180684,43.1104369,"(-18.371276699103134,-8.90223389979328)"
76.5180782,43.1104376,"(-17.28211449901012,-8.824436600463514)"
76.5180876,43.1104382,"(-16.23740789943662,-8.757753200473935)"
76.5180963,43.1104387,"(-15.270498599982574,-8.702183699824545)"
76.5181049,43.110438599999995,"(-14.314703199868717,-8.713297600744113)"
76.5181092,43.1104434,"(-13.836805499811788,-8.179830400037794)"
76.5181152,43.110443800000006,"(-13.169971499916002,-8.135374799518281)"
76.5181214,43.1104425,"(-12.48090969976046,-8.279855500417007)"
76.5181275,43.110442899999995,"(-11.802961798945105,-8.235399900687185)"
76.5181342,43.1104437,"(-11.058330498929863,-8.14648870043785)"
76.51814180000001,43.110445,"(-10.213674098535407,-8.002008000328814)"
76.5181466,43.1104473,"(-9.680206900198158,-7.746388300500378)"
76.5181484,43.110448999999996,"(-9.480156699439732,-7.55745200066152)"
76.5181522,43.1104498,"(-9.057828499242504,-7.468540800412185)"
76.5181624,43.110446499999995,"(-7.924210700209358,-7.835299500749713)"
76.5181679,43.110446700000004,"(-7.312946200173272,-7.8130716997002665)"
76.5182337,43.110517,"(0.0,0.0)"
76.5181855,43.110448,"(-5.356899799426046,-7.668591000380921)"
76.5181891,43.1104478,"(-4.956799399488574,-7.690818799850987)"
76.5181867,43.1104471,"(-5.223532999446888,-7.768616099970444)"
76.5181884,43.1104488,"(-5.034596699608031,-7.579679800131586)"
