type,longitude,latitude,dispositionX,dispositionY,velocityX,velocityY
Raw,0,0,0.0,69.91206169128418,0.0,0.0
Processed,0,0,0.0,65.89860661604291,0.0,5.351273433655024
Raw,0,0,0.0,71.24719858169556,0.0,0.0
Processed,0,0,0.0,67.23575460745607,0.0,5.348591965652645
Raw,0,0,0.0,72.59231925010681,0.0,0.0
Processed,0,0,0.0,68.57489576811875,0.0,5.35656464265071
Raw,0,0,0.0,73.91502857208252,0.0,0.0
Processed,0,0,0.0,69.9099289691097,0.0,5.340132803963797
Raw,0,0,0.0,75.25521039962769,0.0,0.0
Processed,0,0,0.0,71.24624932673919,0.0,5.345281430517957
Raw,0,0,0.0,76.59779071807861,0.0,0.0
Processed,0,0,0.0,72.58413467457405,0.0,5.351541391339424
Raw,0,0,0.0,77.93482422828674,0.0,0.0
Processed,0,0,0.0,73.92180706300222,0.0,5.350689553712698
Raw,0,0,0.0,79.27176833152771,0.0,0.0
Processed,0,0,0.0,75.25929738013359,0.0,5.349961268525476
Raw,0,0,0.0,80.60826420783995,0.0,0.0
Processed,0,0,0.0,76.59653908706018,0.0,5.348966827706363
Raw,0,0,0.0,81.94340109825136,0.0,0.0
Processed,0,0,0.0,77.93325458985797,0.0,5.346862011191149
Raw,0,0,0.0,83.27288150787354,0.0,0.0
Processed,0,0,0.0,79.26816131936187,0.0,5.339626918015597
Raw,0,0,0.0,84.61077928543091,0.0,0.0
Processed,0,0,0.0,80.60381581087913,0.0,5.342617966069042
Raw,0,0,0.0,85.93538761138916,0.0,0.0
Processed,0,0,0.0,81.93670876100663,0.0,5.331571800510005
Raw,0,0,0.0,87.26796746253967,0.0,0.0
Processed,0,0,0.0,83.26952343638989,0.0,5.331258701533045
Raw,0,0,0.0,88.59932899475098,0.0,0.0
Processed,0,0,0.0,84.60197482598016,0.0,5.329805558361102
Raw,0,0,0.0,89.96034979820251,0.0,0.0
Processed,0,0,0.0,85.94156856903575,0.0,5.35837497222235
Raw,0,0,0.0,91.27358794212341,0.0,0.0
Processed,0,0,0.0,87.27457341230766,0.0,5.332019373087633
Raw,0,0,0.0,92.60939121246338,0.0,0.0
Processed,0,0,0.0,88.6082778623466,0.0,5.334817800155747
Raw,0,0,0.0,93.93230080604553,0.0,0.0
Processed,0,0,0.0,89.93928359827133,0.0,5.324022943698935
Raw,0,0,0.0,95.2716588973999,0.0,0.0
Processed,0,0,0.0,91.27237742305347,0.0,5.332375299128557
Raw,0,0,0.0,96.59400939941406,0.0,0.0
Processed,0,0,0.0,92.60278541714362,0.0,5.321631976360607
Raw,0,0,0.0,97.92304396629333,0.0,0.0
Processed,0,0,0.0,93.93285005443104,0.0,5.320258549149685
Raw,0,0,0.0,99.26365613937378,0.0,0.0
Processed,0,0,0.0,95.26555157566673,0.0,5.330806084942765
Raw,0,0,0.0,100.60350060462952,0.0,0.0
Processed,0,0,0.0,96.60003883290743,0.0,5.3379490289627824
Raw,0,0,0.0,101.96671247482298,0.0,0.0
Processed,0,0,0.0,97.94170724338632,0.0,5.366673641915554
Raw,0,0,0.0,103.3459210395813,0.0,0.0
Processed,0,0,0.0,99.29276069243507,0.0,5.404213796194995
Raw,0,0,0.0,104.6797490119934,0.0,0.0
Processed,0,0,0.0,100.63950777232465,0.0,5.386988319558327
Raw,0,0,0.0,106.00777745246887,0.0,0.0
Processed,0,0,0.0,101.98157519236071,0.0,5.3682696801442376
Raw,0,0,0.0,107.3557722568512,0.0,0.0
Processed,0,0,0.0,103.32512445848333,0.0,5.374197064490488
Raw,0,0,0.0,108.6715567111969,0.0,0.0
Processed,0,0,0.0,104.66173252166172,0.0,5.346432252713555
Raw,0,0,0.0,110.00208497047424,0.0,0.0
Processed,0,0,0.0,105.99682063386484,0.0,5.340352448812496
Raw,0,0,0.0,111.3275158405304,0.0,0.0
Processed,0,0,0.0,107.32949443553123,0.0,5.330695206665553
Raw,0,0,0.0,112.7268922328949,0.0,0.0
Processed,0,0,0.0,108.67884388487215,0.0,5.397397797363681
Raw,0,0,0.0,114.06232595443726,0.0,0.0
Processed,0,0,0.0,110.02471440226343,0.0,5.383482069565105
Raw,0,0,0.0,115.38599133491516,0.0,0.0
Processed,0,0,0.0,111.36503363542636,0.0,5.36127693265172
Raw,0,0,0.0,116.7118787765503,0.0,0.0
Processed,0,0,0.0,112.70174492070734,0.0,5.346845141123936
Raw,0,0,0.0,118.0370306968689,0.0,0.0
Processed,0,0,0.0,114.03556636474772,0.0,5.335285776161527
Raw,0,0,0.0,119.4368577003479,0.0,0.0
Processed,0,0,0.0,115.38588919864776,0.0,5.401291335600149
Raw,0,0,0.0,120.78612327575684,0.0,0.0
Processed,0,0,0.0,116.73594771792503,0.0,5.400234077109076
Raw,0,0,0.0,122.1218204498291,0.0,0.0
Processed,0,0,0.0,118.08241590090105,0.0,5.385872731904101
Raw,0,0,0.0,123.48207473754884,0.0,0.0
Processed,0,0,0.0,119.43233061006299,0.0,5.399658836647745
Raw,0,0,0.0,124.80810880661011,0.0,0.0
Processed,0,0,0.0,120.77627515919977,0.0,5.375778196547117
Raw,0,0,0.0,126.16800546646118,0.0,0.0
Processed,0,0,0.0,122.12420773601512,0.0,5.391730307261412
Raw,0,0,0.0,127.48980522155762,0.0,0.0
Processed,0,0,0.0,123.46560710740074,0.0,5.36559748554248
Raw,0,0,0.0,128.8307774066925,0.0,0.0
Processed,0,0,0.0,124.80689968222369,0.0,5.365170299291776
Raw,0,0,0.0,130.16380906105042,0.0,0.0
Processed,0,0,0.0,126.14612702693037,0.0,5.356909378826742
Raw,0,0,0.0,131.50598406791687,0.0,0.0
